,0
232,<(B789) B-1469 - Altitude: 39000 - Ground Speed: 560 - Heading: 144>
233,<(MD11) N522FE - Altitude: 0 - Ground Speed: 0 - Heading: 60>
234,<(B752) N951FD - Altitude: 0 - Ground Speed: 0 - Heading: 315>
235,<(GLF5) N/A - Altitude: 0 - Ground Speed: 3 - Heading: 92>
236,<(B77W) HL7205 - Altitude: 35000 - Ground Speed: 541 - Heading: 144>
237,<(A388) A6-EVN - Altitude: 38000 - Ground Speed: 500 - Heading: 306>
238,<(A388) 9V-SKZ - Altitude: 39000 - Ground Speed: 490 - Heading: 135>
239,<(B77W) TC-LJJ - Altitude: 34000 - Ground Speed: 450 - Heading: 220>
240,<(B763) N654UA - Altitude: 36000 - Ground Speed: 451 - Heading: 219>
241,<(A359) EC-NIS - Altitude: 40000 - Ground Speed: 449 - Heading: 261>
242,<(B772) G-YMMC - Altitude: 38000 - Ground Speed: 470 - Heading: 233>
243,<(B748) LX-VCJ - Altitude: 8700 - Ground Speed: 234 - Heading: 46>
244,<(A333) EC-LYF - Altitude: 34000 - Ground Speed: 496 - Heading: 198>
245,<(B772) N209UA - Altitude: 36000 - Ground Speed: 462 - Heading: 209>
246,<(A333) VH-QPF - Altitude: 41000 - Ground Speed: 474 - Heading: 69>
247,<(A388) A6-EUL - Altitude: 38000 - Ground Speed: 513 - Heading: 302>
248,<(MD11) N617FE - Altitude: 33000 - Ground Speed: 477 - Heading: 76>
249,<(B789) G-VBOW - Altitude: 2150 - Ground Speed: 176 - Heading: 77>
250,<(B789) N23983 - Altitude: 9425 - Ground Speed: 153 - Heading: 188>
251,<(B788) 5Y-KZH - Altitude: 0 - Ground Speed: 8 - Heading: 182>
252,<(B77W) JA731J - Altitude: 0 - Ground Speed: 6 - Heading: 81>
253,<(A20N) CC-AWO - Altitude: 38000 - Ground Speed: 428 - Heading: 345>
254,<(B77W) TC-JJJ - Altitude: 34000 - Ground Speed: 460 - Heading: 224>
255,<(B77W) A7-BEB - Altitude: 22000 - Ground Speed: 364 - Heading: 239>
256,<(B77W) N719AN - Altitude: 34000 - Ground Speed: 485 - Heading: 210>
257,<(B788) N872AN - Altitude: 12425 - Ground Speed: 293 - Heading: 306>
258,<(GLF6) A7-CGM - Altitude: 45000 - Ground Speed: 525 - Heading: 110>
259,<(B77W) B-16723 - Altitude: 35000 - Ground Speed: 551 - Heading: 102>
260,<(A359) 9V-SMT - Altitude: 39000 - Ground Speed: 500 - Heading: 135>
261,<(A388) A6-EUJ - Altitude: 38000 - Ground Speed: 469 - Heading: 311>
262,<(B77W) B-16722 - Altitude: 35000 - Ground Speed: 575 - Heading: 91>
263,<(A139) PR-CGO - Altitude: 5900 - Ground Speed: 130 - Heading: 219>
264,<(GL5T) N/A - Altitude: 22875 - Ground Speed: 394 - Heading: 238>
265,<(B788) SP-LRC - Altitude: 41075 - Ground Speed: 522 - Heading: 90>
266,<(B77W) PT-MUF - Altitude: 34000 - Ground Speed: 483 - Heading: 181>
267,<(A339) N414DZ - Altitude: 38000 - Ground Speed: 480 - Heading: 202>
268,<(A333) D-AIKH - Altitude: 40000 - Ground Speed: 492 - Heading: 180>
269,<(B77W) A6-EGK - Altitude: 15325 - Ground Speed: 296 - Heading: 266>
270,<(B789) C-FGFZ - Altitude: 2000 - Ground Speed: 158 - Heading: 136>
271,<(B788) G-TUIH - Altitude: 31175 - Ground Speed: 522 - Heading: 191>
272,<(A21N) SE-DMO - Altitude: 13800 - Ground Speed: 313 - Heading: 238>
273,<(A35K) F-HMIL - Altitude: 40000 - Ground Speed: 424 - Heading: 221>
274,<(B789) EI-NYE - Altitude: 38000 - Ground Speed: 425 - Heading: 224>
275,<(A333) VH-QPI - Altitude: 28425 - Ground Speed: 486 - Heading: 95>
